番号,shopname,category,全店,デジタル,中小,住所１,住所２,電話番号
121,カフェ・ナカニワ,飲食店,〇,★,●,豊中市上野西1-8-17,エルパティオコイデ101,06-6868-9994
122,株式会社古川商店,小売業 その他,〇,,●,豊中市上野西2-19-2,,06-6854-5979
123,シープ シープ,食料品(スーパー含む),〇,★,●,豊中市上野西2-19-3,,06-6845-5332
124,上野シスター薬局,ドラッグストア,〇,★,●,豊中市上野西2-19-5,,06-6854-1683
125,学習塾ペガサス,豊高前教室 その他,〇,★,●,豊中市上野西2-20-5,,06-6842-7577
126,お出汁の薫る家庭料理あきゑ,飲食店,〇,★,●,豊中市上野西2-2-30,大櫛マンション1F,06-6152-6268
127,カフェ&レストランみうらんど,飲食店,〇,★,●,豊中市上野西3-13-15,,06-6848-0300
128,Le plus,飲食店,〇,★,●,豊中市上野西3-13-62,,06-7505-2911
129,餃子 さわ藤,飲食店,〇,★,●,豊中市上野西3-13-63,,06-7508-5175
130,Decoration Desire,衣料品,〇,★,●,豊中市上野西3-14-14,上野西三番館1C,06-6850-7003
131,utsuwa  to kazari いぷりく,小売業 その他,〇,★,●,豊中市上野西3-14-14,上野西三番館2D,06-6850-0190
132,がね亭,家具・雑貨,〇,★,●,豊中市上野西3-16-40,,090-9117-6126
133,しばた整骨院・鍼灸院,医療福祉,〇,★,●,豊中市上野西3-16-54,阪本マンション1F,06-6850-2084
134,ダンカン 豊中店,衣料品,〇,★,●,豊中市上野西3-17-23,プラムヴィレッジVOL3.,06-6850-2460
135,有限会社アリーナ,自動車・自転車,〇,★,●,豊中市上野西3-18-86,,06-6840-5222
136,メナードフェイシャルサロン アメジスト,理美容,〇,★,●,豊中市上野西3-18-87,,06-7493-0044
137,とらぐちはりきゅう院,医療福祉,〇,★,●,豊中市上野西4-3-5,サンホートラーズ301,080-5630-3614
138,機能訓練デイサービス「ハッカク・デイ」,医療福祉,〇,★,●,豊中市上野坂1-10-2,,06-6152-5267
139,ダリア雑貨店,家具・雑貨,〇,★,●,豊中市上野坂1-11-1,,06-6841-8550
140,有限会社紀の国屋,小売業 その他,〇,★,●,豊中市上野坂1-12-1,,06-6849-0760
141,伊藤歯科医院,医療福祉,〇,,●,豊中市上野坂2-10-2,,06-6849-5524
142,SPACE HAIR INFINITY,理美容,〇,,●,豊中市上野坂2-1-1,1F,06-6850-3039
143,noefuu,家具・雑貨,〇,★,●,豊中市上野坂2-1-7,パルシェ上野坂103,090-7763-1635
144,Old Fashion,飲食店,〇,★,●,豊中市上野坂2-3-3,エルベラーノ上野坂2F,090-8888-6704
145,Cicero hair,理美容,〇,★,●,豊中市上野東1-11-28,,06-7508-7898
146,サポーターサービス,サービス業 その他,〇,★,●,豊中市上野東1-1-54,,06-6151-5848
147,着物と珈琲 沙羅,小売業 その他,〇,★,●,豊中市上野東1-3-65,,06-7502-3675
148,ローソン 豊中上野東一丁目店,コンビニエンスストア,〇,★,●,豊中市上野東1-3-70,,06-6855-7900
149,サンドラッグ 豊中上野店,ドラッグストア,〇,,,豊中市上野東1-4-10,,06-4865-3031
150,ラ・メゾンブランシュ,飲食店,〇,,●,豊中市上野東1-4-14,,06-6852-7628
151,鮨なりまつ,飲食店,〇,★,●,豊中市上野東2-1-1,上野一番館102,06-6856-0303
152,ミツルストラーノ 大阪店,衣料品,〇,★,●,豊中市上野東2-11-11,ハイツ上野東,06-6852-6077
153,ブティック ロコ,衣料品,〇,,●,豊中市上野東2-11-11,ハイツ上野東103,06-6858-1124
154,サンローズ,理美容,〇,★,●,豊中市上野東2-11-11,ハイツ上野東106,06-6854-1002
155,バターフレーク 上野店,食料品(スーパー含む),〇,★,●,豊中市上野東2-2-32-101,,06-6854-0167
156,KOJIBAR(コジバル),飲食店,〇,★,●,豊中市上野東2-2-47,Styleビル B101,070-5263-9732
157,くしかつ専門店オリオ,飲食店,〇,★,●,豊中市上野東2-2-50,和田マンション1F,06-6842-2882
158,マルコポーロ,飲食店,〇,★,●,豊中市上野東2-4-12,,06-6850-8770
159,一汁二菜うえの 豊中店,飲食店,〇,★,●,豊中市上野東3-1-5,,06-6853-3955
160,てっぱん屋 なかい,飲食店,〇,★,●,豊中市上野東3-17-1,,06-6840-1140
161,ローソン 豊中上野東店,コンビニエンスストア,〇,★,●,豊中市上野東3-17-12,,06-6853-8383
162,日本料理 翠徳亭,飲食店,〇,★,●,豊中市上野東3-18-1,エッディタウン,06-6858-1277
163,鍼・あんま‵‵元気っ子′′,サービス業 その他,〇,★,●,豊中市上野東3-18-1-208,,06-6151-3710
164,塩らーめんの旨い店 しおゑもん豊中店,飲食店,〇,★,●,豊中市上野東3-18-13,フレスデザイン第7ビル1F,090-9541-7537
165,沙々羅美容室,理美容,〇,★,●,豊中市上野東3-18-16,,06-6853-0834
166,AT THE 21,飲食店,〇,★,●,豊中市上野東3-18-19,,06-6848-3660
167,シルクマイスターカーメル,衣料品,〇,★,●,豊中市上野東3-18-25,,06-6848-1522
168,アンドアエレ コーヒーロースターズ,飲食店,〇,★,●,豊中市上野東3-18-28,,050-3390-3950
169,タグチスタジオ,サービス業 その他,〇,★,●,豊中市上野東3-18-7,,06-6852-2834
170,Nailsalon PONO,理美容,〇,★,●,豊中市上野東3-4-13,,06-7410-4434
171,ファミリーマート 豊中旭丘店,コンビニエンスストア,〇,★,●,豊中市熊野町1-1-12,,06-6842-6430
172,癒し処ほのか 豊中店,サービス業 その他,〇,★,●,豊中市熊野町1-7-28,,06-6398-7803
173,ヒーリングヘア クロップ,理美容,〇,★,●,豊中市熊野町1-8-45,ノーブル豊中1F,06-6857-0030
174,かみなか歯科クリニック,医療福祉,〇,★,●,豊中市熊野町2-10-12,,06-6210-6480
175,ほっかほっか亭 熊野町店,飲食店,〇,★,●,豊中市熊野町2-10-23,,06-6848-3208
176,アマゾンカムカム株式会社,食料品(スーパー含む),〇,★,●,豊中市熊野町2-10-23,1F,06-6852-2210
177,ファイテンショップ 豊中店,小売業 その他,〇,★,●,豊中市熊野町2-9-50,,06-6850-3031
178,大阪王将 豊中熊野店,飲食店,〇,★,●,豊中市熊野町2-9-58,,06-4865-5210
179,ドラッグユタカ 豊中熊野店,ドラッグストア,〇,,,豊中市熊野町3-4-3,,06-4865-3090
180,眞瀬精肉店,食料品(スーパー含む),〇,★,●,豊中市熊野町4-11-9,田中マンション,06-6151-2000
181,hana hana,小売業 その他,〇,★,●,豊中市熊野町4-11-9,田中マンション1F,06-6850-3038
182,炭火焼肉 眞瀬,飲食店,〇,★,●,豊中市熊野町4-12-23,笹部マンション101,06-7708-4694
183,米・酒のおおた,食料品(スーパー含む),〇,,●,豊中市熊野町4-13-3,,06-6854-5220
184,フレッシュコーヒー ゴールデン・ミル,食料品(スーパー含む),〇,★,●,豊中市熊野町4-1-34,,06-6850-2207
185,フレンドマート 豊中熊野店,食料品(スーパー含む),〇,,,豊中市熊野町4-15-17,,06-6842-5200
186,セレクトショップ ネオ,衣料品,〇,★,●,豊中市熊野町4-20-31,第2ユーロハイツ102,06-6857-0157
187,セントローリエ,飲食店,〇,★,●,豊中市熊野町4-20-31,第2ユーロハイツ東豊中106,06-6849-1121
188,803reliefhair,理美容,〇,★,●,豊中市熊野町4-2-26,,06-7508-6759
189,ほぐし屋ひととき,サービス業 その他,〇,,●,豊中市熊野町4-23-15,フォーラム豊中熊野町2F,06-7505-4826
190,フレスコ 熊野店,食料品(スーパー含む),〇,★,●,豊中市熊野町4-23-2,,06-6840-6311
191,プレジール,小売業 その他,〇,★,●,豊中市熊野町4-23-5,,06-6841-8787
192,private salon SAHJ,理美容,〇,★,●,豊中市熊野町4-2-48-103,,06-6836-9152
193,カーニバルクリーニング 熊野町店,サービス業 その他,〇,,●,豊中市熊野町4-2-51,,06-4867-3568
194,髪切屋 KINTARO,理美容,〇,,●,豊中市熊野町4-2-51,エミネンス北伊103,06-6849-8819
195,シェフカワカミ 東豊中店,食料品(スーパー含む),〇,★,●,豊中市熊野町4-8-2,,06-6857-0888
196,もくもく亭 豊中店,飲食店,〇,★,●,豊中市赤阪1-1-17,,06-6858-1029
197,やまだ鍼灸整骨院,医療福祉,〇,★,●,豊中市赤阪1-1-5,,06-6398-7166
198,カットハウス コンドウ,理美容,〇,,●,豊中市栗ケ丘町9-33,,06-6840-0281
199,イタリア料理 サルーチェ,飲食店,〇,★,●,豊中市栗ケ丘町9-34,キャロル栗ケ丘1F,06-6845-3601
200,株式会社ダイリン,小売業 その他,〇,,●,豊中市栗ケ丘町9-35,,06-6849-1600
201,千鳥屋宗家 豊中店,飲食店,〇,★,●,豊中市本町1-10-1,ボーゼム豊中第一ビル,06-6841-2260
202,NoRion BURGER / N'S Bar,飲食店,〇,★,●,豊中市本町1-10-1,ボーゼム豊中第一ビル1F,090-5165-6564
203,粉もん屋とん平もんじゃ 豊中駅前店,飲食店,〇,★,●,豊中市本町1-10-1,ボーゼム豊中第一ビル3F,06-4865-0606
204,ふぐどん 豊中店,飲食店,〇,★,●,豊中市本町1-10-1,ボーゼム豊中第一ビル4F,06-6846-5129
205,酒とめしらっきい,飲食店,〇,★,●,豊中市本町1-10-1,ボーゼム豊中第一ビル4F,06-6849-3251
206,敦煌 豊中店,飲食店,〇,,●,豊中市本町1-10-1,ボーゼム豊中第一ビル5F,06-6849-0959
207,天ぷら 天舞,飲食店,〇,★,●,豊中市本町1-10-6,松村B2F,06-6846-1008
208,LA PIZZERIA DA NINO,飲食店,〇,★,●,豊中市本町1-10-6,松村ビル1F,06-6210-6683
209,阪急バス 豊中駅前案内所,その他の業種,〇,★,●,豊中市本町1-1-1,,06-6871-0412
210,ブックファースト 豊中店,小売業 その他,〇,★,●,豊中市本町1-1-1,阪急豊中駅2F,06-6152-0525
211,千鳥屋宗家 ミオール豊中店,飲食店,〇,,●,豊中市本町1-11-1,本町ビル1F,06-6846-2898
212,ひぐち陶器,小売業 その他,〇,,●,豊中市本町1-11-16,,06-6854-2270
213,Y38,飲食店,〇,★,●,豊中市本町1-11-22,,06-6857-5077
214,やき鳥とり庄,飲食店,〇,,●,豊中市本町1-11-22,,06-6846-1023
215,京富,小売業 その他,〇,★,●,豊中市本町1-11-4,,06-6852-4031
216,DIALOGO Kitchen&Cafe,飲食店,〇,★,●,豊中市本町1-11-48,豊中建物ビル1F,06-6853-0039
217,森しげる写真場,その他の業種,〇,★,●,豊中市本町1-12-1,,06-6852-3052
218,ベルウッド,サービス業 その他,〇,★,●,豊中市本町1-12-12,,06-6840-0606
219,シスター薬局,ドラッグストア,〇,★,●,豊中市本町1-12-3,,06-6852-3937
220,すし天ぷら頂,飲食店,〇,★,●,豊中市本町1-12-3,,06-7505-4535
221,イル・パラドッソ 豊中店,飲食店,〇,★,●,豊中市本町1-1-3,ティオ豊中1F,06-6151-3633
222,居酒屋さとう,飲食店,〇,★,●,豊中市本町1-13-2,,090-6206-0818
223,おばんざい屋Marutoku,飲食店,〇,★,●,豊中市本町1-13-27,日進堂ビル1F,06-4867-3297
224,豊中まごころサポート にっしんどう店,医療福祉,〇,★,●,豊中市本町1-13-27,日進堂ビル2F,06-6843-2410
225,ビューティスペース UiUi,理美容,〇,★,●,豊中市本町1-13-29,4F,06-6855-2878
226,鍼灸整骨院レメディ,医療福祉,〇,★,●,豊中市本町1-13-29,竹の回廊ビル2F,06-6836-9153
227,ハラデン 豊中駅前店,電化製品,〇,★,●,豊中市本町1-13-32,,06-6846-8000
228,petit chouchou,小売業 その他,〇,★,●,豊中市本町1-13-34,チェリオビル101,090-6556-3316
229,huit,飲食店,〇,★,●,豊中市本町1-13-34,チェリオビル105,090-8980-1008
230,キリン堂 豊中本町店,ドラッグストア,〇,,,豊中市本町1-13-34,チェリオビル1F,06-4865-5280
231,キリン堂薬局 豊中本町店,医療福祉,〇,,,豊中市本町1-13-34,チェリオビル1F,06-4865-6360
232,野瀬果実店,食料品(スーパー含む),〇,★,●,豊中市本町1-13-34,チェリオビル1F,06-6853-0536
233,地鶏地酒の店くいくい,飲食店,〇,★,●,豊中市本町1-2-15,,06-6849-4472
234,Yakigashiya Lucca,食料品(スーパー含む),〇,★,●,豊中市本町1-2-46,,090-7867-0205
235,御菓子司 豊月,食料品(スーパー含む),〇,,●,豊中市本町1-2-55,,06-6852-5155
236,クロロフイル豊中美顔教室,小売業 その他,〇,★,●,豊中市本町1-2-6,モニュマ豊中ビル4F,0120-06-4966
237,ワンペニー,飲食店,〇,★,●,豊中市本町1-3-19,長尾第一ビル1F E,070-3789-5350
238,CO.ZARA,飲食店,〇,★,●,豊中市本町1-3-19,長尾第一ビル1F-B,080-3103-9802
239,酒と蕎麦こなから,飲食店,〇,★,●,豊中市本町1-3-19,長尾第一ビル1F-G,06-6868-9932
240,司法書士スタンダード 豊中登記相談センター,その他の業種,〇,★,●,豊中市本町1-3-19,長尾第一ビル3F-A-2,06-6151-4422
241,若林鍼灸院,医療福祉,〇,★,●,豊中市本町1-3-2,,06-6845-1177
242,カリトロ 豊中店,飲食店,〇,★,●,豊中市本町1-4-1,,06-6846-7833
243,ほっかほっか亭 豊中駅前店,小売業 その他,〇,★,●,豊中市本町1-4-3,,06-6853-3536
244,餃子の勝 豊中本店,飲食店,〇,★,●,豊中市本町1-4-4,,06-7175-1164
245,カレーハウスCoCo壱番屋 阪急豊中駅前店,飲食店,〇,★,●,豊中市本町1-5-1-1,,06-6857-6477
246,だいこくや呉服店,衣料品,〇,★,●,豊中市本町1-9-10,マストモール303,06-6852-5459
247,千手観 南口店,サービス業 その他,〇,★,●,豊中市本町1-9-10,マストメゾン豊中107,06-6836-9107
248,豊中花園,小売業 その他,〇,★,●,豊中市本町1-9-10-105,,06-6852-3656
249,メガネのモモイ,小売業 その他,〇,★,●,豊中市本町1-9-10-110,マストモール1F,06-6855-3456
250,天プラ らっきー,飲食店,〇,★,●,豊中市本町1-9-19,,06-6848-2109
251,クルーズ・101,衣料品,〇,,●,豊中市本町1-9-20-101,,06-6846-1331
252,ミドリヤ,衣料品,〇,★,●,豊中市本町1-9-22,,06-6852-4875
253,Imai Link Hair,理美容,〇,★,●,豊中市本町1-9-23,,06-6849-4914
254,デリカショップ浜田,食料品(スーパー含む),〇,★,●,豊中市本町1-9-24,,0120-80-5615
255,ニューハトヤ コロンベ,衣料品,〇,,●,豊中市本町1-9-25,,06-6856-0411
256,陶苑ハトヤ,小売業 その他,〇,,●,豊中市本町1-9-25,,06-6854-1678
257,串紀行,飲食店,〇,★,●,豊中市本町1-9-27,2F,06-6850-7500
258,アグネス宝石,小売業 その他,〇,★,●,豊中市本町1-9-28,,06-6849-1511
